"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID","age"
"13","AT1G01610","259430_at",0.000389,1.72e-06,-15.1,5.983174,-0.918,"GPAT4","bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase","GO:0010143; GO:0009507; GO:0016020; GO:0016791; GO:0090447; GO:0102419","00561; 00564; 01100",15164073,6,"Tracheophyta","ARATH00107","MC"
"14","AT1G01630","261563_at",0.044164,0.008,-3.7,-2.98963,-0.266,"AT1G01630","protein sec fourteen-like protein-20","GO:0005634",NA,15164076,2,"Eukaryota","ARATH00110","UC"
"15","AT1G01725","261535_at",0.028006,0.00415,-4.22,-2.280962,-0.247,"AT1G01725","hypothetical protein","GO:0008150; GO:0003674",NA,15164097,8,"Magnoliopsida","ARATH00131","MC"
"16","AT1G01940","261655_at",0.031159,0.00487,4.09,-2.455495,0.328,"AT1G01940","peptidyl-prolyl cis-trans isomerase-like 3","GO:0000413; GO:0006457; GO:0005634; GO:0003755",NA,15164134,2,"Eukaryota","ARATH00168","UC"
"17","AT1G02110","264176_at",0.002398,9e-05,8.19,1.879727,0.455,"AT1G02110","hypothetical protein","GO:0006499; GO:0005634; GO:0005886; GO:0003674",NA,15164169,8,"Magnoliopsida","ARATH00203","MC"
"18","AT1G02150","264177_at",0.03912,0.00673,3.83,-2.803492,0.153,"AT1G02150","pentatricopeptide repeat-containing protein","GO:0005739; GO:0009507; GO:0003729",NA,15164179,6,"Tracheophyta","ARATH00213","MC"
"19","AT1G02205","264146_at",0.008201,0.000673,-5.88,-0.303575,-0.222,"CER1","protein ECERIFERUM 1","GO:0009414; GO:0010025; GO:0042335; GO:0042742; GO:0043447; GO:0046185; GO:0050832; GO:0005739; GO:0016020; GO:0016491; GO:0071771",NA,15164188,5,"Embryophyta","ARATH00222","MC"
"20","AT1G02300","259441_at",0.04449,0.00807,-3.69,-2.99922,-0.407,"AT1G02300","putative cathepsin B-like cysteine protease","GO:0006508; GO:0051603; GO:0005576; GO:0005615; GO:0005764; GO:0004197",NA,15164200,2,"Eukaryota","ARATH00234","UC"
"21","AT1G02310","259442_at",0.037091,0.00621,-3.9,-2.716646,-0.21,"MAN1","mannan endo-1,4-beta-mannosidase 1","GO:0005975; GO:0005576; GO:0016985",NA,15164202,1,"LUCA","ARATH00236","UC"
"22","AT1G02360","259443_at",0.001024,1.78e-05,10.6,3.603481,0.812,"AT1G02360","putative chitinase","GO:0002239; GO:0005975; GO:0006032; GO:0016998; GO:0071456; GO:0005576; GO:0005739; GO:0004568",NA,15164210,2,"Eukaryota","ARATH00244","UC"
"23","AT1G02460","260903_at",0.00133,2.79e-05,-9.84,3.129668,-0.477,"AT1G02460","pectin lyase-like superfamily protein","GO:0005975; GO:0005576; GO:0004650",NA,15164226,8,"Magnoliopsida","ARATH00260","MC"
"24","AT1G02475","260916_at",0.043422,0.00782,-3.72,-2.965331,-0.197,"AT1G02475","SRPBCC ligand-binding domain-containing protein","GO:0008150; GO:0005634; GO:0003674",NA,15164229,4,"Streptophyta","ARATH00263","MC"
"25","AT1G02500","260913_at",0.009085,0.000781,-5.73,-0.466323,-0.303,"SAM1","S-adenosylmethionine synthetase 1","GO:0006556; GO:0009693; GO:0046686; GO:0005576; GO:0005618; GO:0005737; GO:0005829; GO:0005886; GO:0004478; GO:0005515","00270; 01100; 01110",15164231,1,"LUCA","ARATH00265","UC"
"26","AT1G02640","260914_at",0.002387,8.86e-05,-8.21,1.895972,-0.585,"BXL2","probable beta-D-xylosidase 2","GO:0031222; GO:0045493; GO:0005576; GO:0009505; GO:0004553; GO:0009044; GO:0046556","00460; 00500; 00940; 01110",15164250,2,"Eukaryota","ARATH00284","UC"
"27","AT1G02660","260915_at",0.00134,2.84e-05,-9.81,3.110482,-0.489,"AT1G02660","alpha/beta-Hydrolases superfamily protein","GO:0002213; GO:0009628; GO:0031349; GO:0005576; GO:0009507; GO:0047714",NA,15164253,6,"Tracheophyta","ARATH00287","MC"
"28","AT1G02690","260910_at",0.000919,1.42e-05,10.9,3.841402,0.576,"IMPA-6","importin alpha isoform 6","GO:0006607; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0042025; GO:0008139; GO:0061608",NA,15164263,2,"Eukaryota","ARATH00297","UC"
"29","AT1G02730","262109_at",0.004362,0.000244,6.97,0.800453,0.503,"CSLD5","cellulose synthase-like protein D5","GO:0000919; GO:0006970; GO:0009414; GO:0009651; GO:0009833; GO:0010583; GO:0030244; GO:0042546; GO:0048367; GO:0005794; GO:0005802; GO:0005886; GO:0016760; GO:0046527; GO:0051753","00500; 00520; 01100",15164268,9,"Mesangiospermae","ARATH00302","MC"
"30","AT1G02780","262117_at",0.001748,5.02e-05,8.98,2.506192,0.481,"emb2386","60S ribosomal protein L19-1","GO:0006412; GO:0009793; GO:0005576; GO:0005730; GO:0005737; GO:0005829; GO:0005886; GO:0009506; GO:0022625; GO:0022626; GO:0003723; GO:0003729; GO:0003735","03010",15164273,1,"LUCA","ARATH00307","UC"
"31","AT1G02850","262118_at",0.008,0.000653,5.91,-0.271342,0.264,"BGLU11","beta glucosidase 11","GO:0005975; GO:0005576; GO:0005886; GO:0008422; GO:0102483",NA,15164287,1,"LUCA","ARATH00321","UC"
"32","AT1G02860","262114_at",0.018184,0.0022,-4.76,-1.592216,-0.319,"NLA","E3 ubiquitin-protein ligase BAH1","GO:0009626; GO:0009627; GO:0009697; GO:0009751; GO:0010167; GO:0010337; GO:0016567; GO:0042742; GO:0080021; GO:0005634; GO:0005737; GO:0005739; GO:0005886; GO:0004842; GO:0005515",NA,15164290,4,"Streptophyta","ARATH00324","MC"
"33","AT1G02940","262103_at",0.02279,0.00309,4.47,-1.962383,0.511,"GSTF5","glutathione S-transferase F5","GO:0006749; GO:0009407; GO:0005737; GO:0005739; GO:0004364; GO:0043295","00480",15164307,2,"Eukaryota","ARATH00341","UC"
"34","AT1G02970","262106_at",0.023938,0.00331,4.41,-2.03587,0.278,"WEE1","Wee1-like protein kinase","GO:0000076; GO:0007050; GO:0007093; GO:0005634; GO:0004672; GO:0004713; GO:0004715; GO:0005515",NA,15164318,5,"Embryophyta","ARATH00352","MC"
"35","AT1G03010","263169_at",0.034209,0.00555,3.99,-2.596449,0.169,"AT1G03010","phototropic-responsive NPH3 family protein","GO:0009860; GO:0016567; GO:0005634",NA,15164326,4,"Streptophyta","ARATH00360","MC"
"36","AT1G03090","263118_at",0.006903,0.000509,-6.16,0.000115,-0.449,"MCCA","methylcrotonoyl-CoA carboxylase subunit alpha","GO:0006552; GO:0005576; GO:0005739; GO:0022626; GO:0004485; GO:0016421; GO:0050897","00280; 01100",15164343,2,"Eukaryota","ARATH00377","UC"
"37","AT1G03110","263119_at",0.000769,1.07e-05,11.4,4.132185,0.402,"AT1G03110","tRNA modification protein 82","GO:0006400; GO:0008618; GO:0005634; GO:0005737; GO:0005829; GO:0043527; GO:0008176",NA,15164348,5,"Embryophyta","ARATH00382","MC"
"38","AT1G03130","263114_at",0.010911,0.00104,-5.45,-0.773512,-0.487,"PSAD-2","photosystem I reaction center subunit D-2","GO:0005576; GO:0009507; GO:0009534; GO:0009535; GO:0009538; GO:0009579; GO:0009941; GO:0003674","00195; 01100",15164351,2,"Eukaryota","ARATH00385","UC"
"39","AT1G03210","264355_at",0.031108,0.00486,4.09,-2.453146,0.246,"AT1G03210","Phenazine biosynthesis PhzC/PhzF protein","GO:0008150; GO:0009058; GO:0005575; GO:0003674; GO:0003824",NA,15164365,1,"LUCA","ARATH00399","UC"
"40","AT1G03310","264360_at",0.046316,0.00857,3.65,-3.063283,0.177,"DBE1","Isoamylase 2","GO:0005977; GO:0010021; GO:0019252; GO:0009507; GO:0019156",NA,15164381,4,"Streptophyta","ARATH00415","MC"
"41","AT1G03330","264364_at",0.015384,0.00172,4.98,-1.327902,0.331,"AT1G03330","Small nuclear ribonucleoprotein family protein","GO:0000398; GO:0000932; GO:0005634; GO:0005688; GO:0005829; GO:0046540; GO:0071011; GO:0071013; GO:1990726","03018; 03040",15164384,2,"Eukaryota","ARATH00418","UC"
"42","AT1G03360","264357_at",0.009274,0.000811,5.69,-0.507439,0.326,"RRP4","ribosomal RNA processing protein 4","GO:0000460; GO:0000467; GO:0034427; GO:0034475; GO:0043928; GO:0060149; GO:0071034; GO:0071035; GO:0071038; GO:0071049; GO:0071051; GO:0000176; GO:0000177; GO:0000178; GO:0005654; GO:0005730; GO:0005737; GO:0003723","03018",15164387,2,"Eukaryota","ARATH00421","UC"
"43","AT1G03380","264828_at",0.021613,0.00286,-4.53,-1.879589,-0.308,"ATG18G","autophagy 18G-like protein","GO:0042594; GO:0005737; GO:0003674",NA,15164391,6,"Tracheophyta","ARATH00425","MC"
"44","AT1G03475","264820_at",0.046473,0.00861,3.64,-3.068682,0.241,"LIN2","coproporphyrinogen III oxidase","GO:0006782; GO:0033014; GO:0005576; GO:0005737; GO:0009507; GO:0009536; GO:0009570; GO:0048046; GO:0004109","00860; 01100; 01110",15164407,1,"LUCA","ARATH00441","UC"
"45","AT1G03530","264818_at",0.046164,0.00852,3.65,-3.057218,0.168,"NAF1","nuclear assembly factor 1","GO:0000493; GO:0001522; GO:0042254; GO:0005634; GO:0005732; GO:0009506; GO:0003723",NA,15164413,13,"Brassicaceae","ARATH00447","MC"
"46","AT1G03550","264835_at",0.019547,0.00247,-4.66,-1.720059,-0.334,"AT1G03550","secretory carrier-associated membrane protein 2","GO:0015031; GO:0000139; GO:0005794; GO:0005886; GO:0032588; GO:0055038",NA,15164415,2,"Eukaryota","ARATH00449","UC"
"47","AT1G03620","264815_at",0.023883,0.00329,-4.41,-2.031633,-0.279,"AT1G03620","ELMO/CED-12 family protein","GO:0005634; GO:0005737; GO:0003674",NA,15164427,5,"Embryophyta","ARATH00461","MC"
"48","AT1G03780","265085_at",0.027692,0.00407,4.24,-2.261718,0.391,"TPX2","protein TPX2","GO:0051225; GO:0005634; GO:0005874; GO:0009941; GO:0008017",NA,15164453,5,"Embryophyta","ARATH00487","MC"
"49","AT1G03860","265037_at",0.049061,0.00931,3.58,-3.15293,0.432,"PHB2","prohibitin 2","GO:0008150; GO:0005576; GO:0005618; GO:0005739; GO:0005747; GO:0005773; GO:0005774; GO:0009507; GO:0009536",NA,15164466,2,"Eukaryota","ARATH00500","UC"
"50","AT1G03870","265066_at",0.006154,0.000422,-6.36,0.204915,-0.392,"FLA9","fasciclin-like arabinogalactan protein 9","GO:0009834; GO:0005576; GO:0005886; GO:0031225; GO:0046658; GO:0099503",NA,15164468,8,"Magnoliopsida","ARATH00502","MC"
"51","AT1G03950","265044_at",0.019059,0.00238,-4.69,-1.678575,-0.2,"VPS2.3","vacuolar protein sorting-associated protein 2.3","GO:0015031; GO:0016192; GO:0032509; GO:0045324; GO:0000815; GO:0005771",NA,15164480,2,"Eukaryota","ARATH00514","UC"
"52","AT1G03970","265040_at",0.021971,0.00294,-4.51,-1.909007,-0.282,"GBF4","G-box binding factor 4","GO:0006355; GO:0005634; GO:0003677; GO:0003700; GO:0005515; GO:0043565","04075",15164486,10,"Pentapetalae","ARATH00520","MC"
"53","AT1G03980","265065_at",0.038214,0.00648,3.86,-2.763347,0.159,"PCS2","phytochelatin synthase 2","GO:0010273; GO:0046938; GO:0098849; GO:0005634; GO:0009507; GO:0016756",NA,15164487,5,"Embryophyta","ARATH00521","MC"
"54","AT1G04020","265097_at",0.000835,1.25e-05,11.1,3.974369,0.538,"BARD1","BRCT-associated RING-finger domain-containing protein","GO:0006281; GO:0009934; GO:0048366; GO:0005634; GO:0003677",NA,15164495,2,"Eukaryota","ARATH00529","UC"
"55","AT1G04040","265042_at",0.003591,0.00017,7.39,1.190422,0.57,"AT1G04040","HAD superfamily, subfamily IIIB acid phosphatase","GO:0005576; GO:0005618; GO:0005773; GO:0005774; GO:0009505; GO:0009506; GO:0003993",NA,15164498,8,"Magnoliopsida","ARATH00532","MC"
"56","AT1G04170","264327_at",0.002941,0.000126,7.76,1.519002,0.482,"EIF2 GAMMA","translation initiation factor eIF-2 gamma subunit","GO:0001731; GO:0045903; GO:0005576; GO:0005737; GO:0005829; GO:0005850; GO:0003743; GO:0003924; GO:0005525","03013",15164520,1,"LUCA","ARATH00554","UC"
"57","AT1G04220","264318_at",0.004492,0.000257,-6.91,0.745878,-0.345,"KCS2","3-ketoacyl-CoA synthase 2","GO:0006633; GO:0006970; GO:0009611; GO:0010345; GO:0005737; GO:0009922; GO:0102336; GO:0102337; GO:0102338; GO:0102756",NA,15164527,2,"Eukaryota","ARATH00561","UC"
"58","AT1G04250","263664_at",0.000383,1.61e-06,15.2,6.048188,1.08,"AXR3","auxin-responsive protein IAA17","GO:0006355; GO:0009733; GO:0009734; GO:1900057; GO:0000502; GO:0005634; GO:0008180; GO:0019005; GO:0003700; GO:0005515; GO:0042802","04075",15164532,13,"Brassicaceae","ARATH00566","MC"
"59","AT1G04270","263667_at",0.00132,2.74e-05,9.87,3.151225,0.58,"RPS15","40S ribosomal protein S15-1","GO:0000028; GO:0006412; GO:0005576; GO:0005737; GO:0005774; GO:0005829; GO:0005886; GO:0009506; GO:0009507; GO:0022626; GO:0022627; GO:0003723; GO:0003735",NA,15164534,1,"LUCA","ARATH00568","UC"
"60","AT1G04310","263653_at",0.002136,7.18e-05,8.49,2.122168,0.347,"ERS2","ethylene response sensor 2","GO:0010105; GO:0005576; GO:0005783; GO:0000155; GO:0004673; GO:0004674; GO:0005515; GO:0038199; GO:0042802; GO:0051740","04075",15164546,13,"Brassicaceae","ARATH00580","MC"
"61","AT1G04350","263668_at",0.005195,0.000322,-6.65,0.500172,-0.508,"AT1G04350","1-aminocyclopropane-1-carboxylate oxidase-like 6","GO:0005576; GO:0005737; GO:0016706; GO:0051213",NA,15164549,11,"rosids","ARATH00583","MC"
"62","AT1G04360","263650_at",0.003777,0.000189,-7.26,1.076377,-0.308,"AT1G04360","RING-finger domain-containing protein","GO:0016567",NA,15164550,8,"Magnoliopsida","ARATH00584","MC"
"63","AT1G04400","263669_at",0.002883,0.00012,-7.82,1.571852,-0.337,"CRY2","cryptochrome 2","GO:0006325; GO:0006338; GO:0007623; GO:0009414; GO:0009416; GO:0009637; GO:0009638; GO:0009646; GO:0009785; GO:0009909; GO:0009911; GO:0010075; GO:0010118; GO:0010244; GO:0010617; GO:0042752; GO:0048574; GO:0051607; GO:0072387; GO:1901371; GO:1902347; GO:2000028; GO:2000379; GO:0005634; GO:0005737; GO:0005773; GO:0016604; GO:0005515; GO:0005524; GO:0009882; GO:0042802; GO:0042803; GO:0071949","04712",15164555,1,"LUCA","ARATH00589","UC"
"64","AT1G04410","263663_at",0.001886,5.69e-05,8.8,2.372195,0.419,"AT1G04410","malate dehydrogenase","GO:0005975; GO:0006099; GO:0006107; GO:0006108; GO:0006734; GO:0010043; GO:0046686; GO:0005576; GO:0005634; GO:0005737; GO:0005773; GO:0005774; GO:0005829; GO:0005886; GO:0009506; GO:0009507; GO:0009570; GO:0048046; GO:0005515; GO:0030060","00020; 00620; 00630; 00710; 01100; 01110",15164556,2,"Eukaryota","ARATH00590","UC"
"65","AT1G04480","263665_at",0.000769,1.08e-05,11.4,4.127585,0.673,"AT1G04480///emb2171///AT2G33370","60S ribosomal protein L23///60S ribosomal protein L23///60S ribosomal protein L23B","GO:0005576; GO:0009507; GO:0022625; GO:0003735; GO:0070180",NA,15164565,1,"LUCA","ARATH00599","UC"
"66","AT1G04520","263677_at",0.006202,0.000427,6.35,0.19094,0.29,"PDLP2","plasmodesmata-located protein 2","GO:0010497; GO:0046739; GO:0005576; GO:0009506; GO:0003674",NA,15164573,8,"Magnoliopsida","ARATH00607","MC"
"67","AT1G04760","261178_at",0.006163,0.000424,6.36,0.200588,0.345,"VAMP726","vesicle-associated membrane protein 726","GO:0016192; GO:0005768; GO:0005886",NA,15164606,2,"Eukaryota","ARATH00640","UC"
"68","AT1G04820","261129_at",0.005906,0.000393,6.43,0.281154,0.249,"TUA2///TUA4","tubulin alpha-2 chain///tubulin alpha-4 chain","GO:0000226; GO:0000278; GO:0007017; GO:0046686; GO:0071258; GO:0005576; GO:0005618; GO:0005634; GO:0005737; GO:0005774; GO:0005829; GO:0005874; GO:0005886; GO:0009570; GO:0045298; GO:0003729; GO:0005200; GO:0005525",NA,15164613,2,"Eukaryota","ARATH00647","UC"
"69","AT1G04870","261130_at",0.004755,0.000279,6.81,0.653789,0.463,"PRMT10","arginine methyltransferase 10","GO:0010228; GO:0019919; GO:0005634; GO:0005829; GO:0008469; GO:0016277; GO:0035241; GO:0035242",NA,15164621,2,"Eukaryota","ARATH00655","UC"
"70","AT1G04900","261124_at",0.017277,0.00203,4.83,-1.508553,0.193,"AT1G04900","hypothetical protein","GO:0005739; GO:0035243",NA,15164626,2,"Eukaryota","ARATH00660","UC"
"71","AT1G04945","261168_at",0.0152,0.0017,4.99,-1.312243,0.319,"AT1G04945","HIT-type zinc finger family protein","GO:0008150; GO:0005634; GO:0009507",NA,15164633,5,"Embryophyta","ARATH00667","MC"
"72","AT1G04980","261167_at",0.008707,0.000733,5.79,-0.39624,0.474,"PDIL2-2","protein disulfide-isomerase like 2-2","GO:0034976; GO:0045454; GO:0005634; GO:0005730; GO:0005783; GO:0005829; GO:0009505; GO:0009507; GO:0003756","04141",15164642,2,"Eukaryota","ARATH00676","UC"
"73","AT1G04990","261125_at",0.045336,0.00832,-3.67,-3.031821,-0.231,"AT1G04990","zinc finger CCCH domain-containing protein 3","GO:0008150; GO:0005634; GO:0003729",NA,15164645,10,"Pentapetalae","ARATH00679","MC"
"74","AT1G05205","264579_at",0.010332,0.000964,5.52,-0.694826,0.4,"AT1G05205","hypothetical protein","GO:0005634",NA,15164686,9,"Mesangiospermae","ARATH00720","MC"
"75","AT1G05210","264581_at",0.002189,7.55e-05,8.42,2.068238,0.479,"AT1G05210","putative transmembrane protein 97","GO:0008150; GO:0005576; GO:0005783; GO:0003674",NA,15164687,3,"Viridiplantae","ARATH00721","UC"
"76","AT1G05260","264577_at",0.01094,0.00104,5.45,-0.777691,0.523,"RCI3","peroxidase 3","GO:0006950; GO:0006979; GO:0009269; GO:0009409; GO:0042538; GO:0005576; GO:0005783; GO:0009505; GO:0009506; GO:0004601; GO:0020037","00360; 00940; 01100; 01110",15164694,8,"Magnoliopsida","ARATH00728","MC"
"77","AT1G05300","264574_at",0.013138,0.00136,-5.2,-1.067774,-0.268,"ZIP5","zinc transporter 5","GO:0071577; GO:0098655; GO:0005576; GO:0005886; GO:0009507; GO:0016020; GO:0005385; GO:0046873",NA,15164700,2,"Eukaryota","ARATH00734","UC"
"78","AT1G05450","261385_at",0.002756,0.000112,-7.91,1.645025,-0.683,"AT1G05450","protease inhibitor/seed storage/LTP family protein","GO:0005739; GO:0005886; GO:0031225",NA,15164721,13,"Brassicaceae","ARATH00755","MC"
"79","AT1G05620","263180_at",0.043282,0.00778,3.72,-2.960005,0.181,"URH2","inosine nucleoside hydrolase","GO:0006148; GO:0006152; GO:0010150; GO:0005829; GO:0005515; GO:0008477; GO:0035251; GO:0045437; GO:0047724",NA,15164750,2,"Eukaryota","ARATH00784","UC"
"80","AT1G05805","261254_at",0.000515,3.97e-06,-13.3,5.151486,-0.481,"AT1G05805","transcription factor bHLH128","GO:0006355; GO:0010119; GO:0005634; GO:0005829; GO:0001228; GO:0003700; GO:0005515; GO:0046983",NA,15164787,10,"Pentapetalae","ARATH00821","MC"
"81","AT1G06010","260946_at",0.02591,0.0037,4.32,-2.15719,0.166,"AT1G06010","hypothetical protein","GO:0008150; GO:0003674",NA,15164826,11,"rosids","ARATH00860","MC"
"82","AT1G06050","260959_at",0.013822,0.00146,-5.13,-1.150419,-0.199,"AT1G06050","hypothetical protein","GO:0008150; GO:0005634",NA,15164832,6,"Tracheophyta","ARATH00866","MC"
"83","AT1G06180","260784_at",0.001095,1.97e-05,10.4,3.499395,0.422,"MYB13","myb domain protein 13","GO:0009909; GO:0030154; GO:0005634; GO:0003700; GO:0043565",NA,15164856,12,"malvids","ARATH00890","MC"
"84","AT1G06270","260792_at",0.030664,0.00474,4.11,-2.425701,0.151,"AT1G06270","pentatricopeptide repeat-containing protein","GO:0008150; GO:0005739; GO:0042170; GO:0003674",NA,15164872,7,"Spermatophyta","ARATH00906","MC"
"85","AT1G06380","259392_at",0.002755,0.000112,7.91,1.646487,0.286,"AT1G06380","ribosomal protein L1p/L10e family","GO:0000470; GO:0005634; GO:0009507; GO:0009941; GO:0030686; GO:0003723",NA,15164882,2,"Eukaryota","ARATH00916","UC"
"86","AT1G06420","259394_at",0.002828,0.000117,7.85,1.599521,0.287,"AT1G06420","hypothetical protein","GO:0008150; GO:0005575",NA,15164886,13,"Brassicaceae","ARATH00920","MC"
"87","AT1G06460","262629_at",0.029742,0.00454,-4.15,-2.378213,-0.606,"ACD32.1","alpha-crystallin domain 32.1","GO:0005576; GO:0005777",NA,15164891,6,"Tracheophyta","ARATH00925","MC"
"88","AT1G06520","262630_at",0.000399,1.82e-06,-14.9,5.929881,-0.753,"GPAT1","sn-glycerol-3-phosphate 2-O-acyltransferase","GO:0010143; GO:0016024; GO:0048235; GO:0080167; GO:0005739; GO:0016020; GO:0004366; GO:0016791; GO:0090447; GO:0102420","00561; 00564; 01100",15164899,8,"Magnoliopsida","ARATH00933","MC"
"89","AT1G06540","262620_at",0.012154,0.0012,-5.31,-0.936206,-0.286,"AT1G06540","hypothetical protein","GO:0008150; GO:0009507; GO:0003674",NA,15164901,13,"Brassicaceae","ARATH00935","MC"
"90","AT1G06640","262637_at",0.001725,4.78e-05,-9.05,2.558825,-0.732,"AT1G06640","2-oxoglutarate-dependent dioxygenase-like protein","GO:0005737; GO:0016706; GO:0051213",NA,15164916,11,"rosids","ARATH00950","MC"
"91","AT1G06670","262636_at",0.03621,0.006,3.92,-2.680509,0.238,"NIH","nuclear DEIH-boxhelicase","GO:0006259; GO:0005622; GO:0005634; GO:0003677; GO:0003678; GO:0003723",NA,15164923,4,"Streptophyta","ARATH00957","MC"
"92","AT1G06900","260817_at",0.006844,0.000503,6.17,0.013168,0.276,"AT1G06900","Insulinase (peptidase family M16) family protein","GO:0005737; GO:0005829",NA,15164961,2,"Eukaryota","ARATH00995","UC"
"93","AT1G07040","256061_at",0.005544,0.000356,-6.54,0.3899,-0.657,"AT1G07040","hypothetical protein","GO:0008150; GO:0009507",NA,15164984,2,"Eukaryota","ARATH01018","UC"
"94","AT1G07070","256065_at",0.005124,0.000313,6.68,0.528844,0.555,"AT1G07070","60S ribosomal protein L35a-1","GO:0002181; GO:0042273; GO:0005576; GO:0005737; GO:0005829; GO:0022625; GO:0003735","03010",15164991,2,"Eukaryota","ARATH01025","UC"
"95","AT1G07170","256067_at",0.016607,0.00192,4.88,-1.44789,0.223,"AT1G07170///AT2G30000","splicing factor 3b-like protein///PHD finger-like domain-containing protein 5A","GO:0000398; GO:0005634; GO:0005686; GO:0005689; GO:0071011; GO:0003674","03040",15165003,2,"Eukaryota","ARATH01037","UC"
"96","AT1G07210","256043_at",0.041471,0.00733,3.77,-2.895728,0.315,"AT1G07210","ribosomal protein S18","GO:0006412; GO:0005763; GO:0009507; GO:0003735; GO:0070181",NA,15165010,9,"Mesangiospermae","ARATH01044","MC"
"97","AT1G07250","256033_at",0.006096,0.000414,-6.38,0.226577,-0.265,"UGT71C4","UDP-glucosyl transferase 71C4","GO:0043231; GO:0008194; GO:0016757; GO:0033836; GO:0035251; GO:0047893; GO:0080043; GO:0080044; GO:0102360; GO:0102425",NA,15165014,12,"malvids","ARATH01048","MC"
"98","AT1G07280","261075_at",0.000985,1.63e-05,-10.7,3.699133,-0.843,"AT1G07280","tetratricopeptide repeat-containing protein-like protein","GO:0008150; GO:0009507",NA,15165018,4,"Streptophyta","ARATH01052","MC"
"99","AT1G07310","261083_at",0.003819,0.000193,-7.24,1.055109,-0.359,"AT1G07310","calcium-dependent lipid-binding domain protein","GO:0008150; GO:0005634; GO:0003674",NA,15165024,9,"Mesangiospermae","ARATH01058","MC"
