ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
253013_at,0.000347,1.35E-06,1.56E+01,6.216935,8.19E-01,mtHsc70-1,heat shock protein 70-1
248622_at,0.000361,1.45E-06,-1.55E+01,6.152353,-1.1,BXL1,bifunctional {beta}-D-xylosidase/{alpha}-L-arabinofuranosidase
247900_at,0.000361,1.45E-06,1.54E+01,6.149807,7.44E-01,AT5G57290,60S acidic ribosomal protein P3-2
251188_at,0.000361,1.46E-06,-1.54E+01,6.145383,-1.27,AT3G62730,hypothetical protein
261766_at,0.00038,1.55E-06,1.53E+01,6.084858,1.4,IAA5,auxin-responsive protein IAA5
260895_at,0.000383,1.60E-06,1.52E+01,6.053982,8.83E-01,AT1G29250,Alba DNA/RNA-binding protein
247280_at,0.000383,1.60E-06,-1.52E+01,6.051424,-1.41,EXL2,protein EXORDIUM like 2
263664_at,0.000383,1.61E-06,1.52E+01,6.048188,1.08,AXR3,auxin-responsive protein IAA17
245956_s_at,0.000385,1.64E-06,1.52E+01,6.031422,7.24E-01,BIP2///BIP1,Luminal-binding protein 2///Luminal-binding protein 1
247651_at,0.000387,1.67E-06,1.51E+01,6.0121,1.02,HTA6,histone H2A 6
251944_at,0.000387,1.68E-06,-1.51E+01,6.007338,-1.18,AT3G53510,ABC transporter G family member 20
259430_at,0.000389,1.72E-06,-1.51E+01,5.983174,-9.18E-01,GPAT4,bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase
259382_s_at,0.000389,1.72E-06,1.51E+01,5.983042,1.15,JAL31///PBP1,jacalin-related lectin 31///PYK10-binding protein 1
250110_at,0.000389,1.74E-06,1.50E+01,5.973686,6.04E-01,ENODL17,early nodulin-like protein 17
257643_at,0.000396,1.79E-06,1.50E+01,5.946506,8.24E-01,EDF3,ethylene response DNA binding factor 3
262630_at,0.000399,1.82E-06,-1.49E+01,5.929881,-7.53E-01,GPAT1,sn-glycerol-3-phosphate 2-O-acyltransferase
258336_at,0.000419,1.93E-06,1.48E+01,5.870406,6.17E-01,PDX1.2,putative pyridoxal biosynthesis protein PDX1.2
247010_at,0.000419,1.97E-06,1.48E+01,5.852273,7.82E-01,AT5G67510,60S ribosomal protein L26-2
247654_at,0.000419,1.97E-06,1.48E+01,5.852139,8.35E-01,RPS15A///AT5G59850,40S ribosomal protein S15a-1///40S ribosomal protein S15a-1
266929_at,0.000432,2.05E-06,-1.47E+01,5.81056,-7.49E-01,AT2G45850,AT hook motif DNA-binding family protein
262092_at,0.000432,2.07E-06,-1.46E+01,5.803287,-7.42E-01,AT1G56150,SAUR-like auxin-responsive protein
258486_at,0.000432,2.09E-06,1.46E+01,5.791792,6.47E-01,AT3G02560,40S ribosomal protein S7-2
248747_at,0.000432,2.10E-06,1.46E+01,5.786776,7.50E-01,AT5G47930,40S ribosomal protein S27-3
245346_at,0.00045,2.23E-06,-1.45E+01,5.728239,-8.88E-01,CT-BMY,beta-amylase
250793_at,0.00045,2.23E-06,-1.45E+01,5.728124,-5.50E-01,AT5G05600,"oxidoreductase, 2OG-Fe(II) oxygenase family protein"
250443_at,0.000451,2.25E-06,1.45E+01,5.717414,7.10E-01,RBK1,receptor-like cytosolic serine/threonine-protein kinase RBK1
253590_at,0.000457,2.32E-06,-1.44E+01,5.688732,-5.55E-01,HHP2,heptahelical transmembrane protein2
260611_at,0.000457,2.34E-06,-1.44E+01,5.680002,-6.00E-01,AT2G43670,carbohydrate-binding X8 domain-containing protein
246307_at,0.000457,2.35E-06,1.44E+01,5.677692,8.00E-01,ATG2,putative nuclear DNA-binding protein G2p
256253_at,0.000459,2.38E-06,1.43E+01,5.662223,5.20E-01,AT3G11250,60S acidic ribosomal protein P0-3
255455_at,0.000459,2.40E-06,1.43E+01,5.655158,8.02E-01,AT4G02930,putative elongation factor Tu
259982_at,0.000459,2.41E-06,-1.43E+01,5.649942,-7.26E-01,ATL8,RING-H2 finger protein ATL8
247791_at,0.000459,2.44E-06,1.43E+01,5.640858,5.29E-01,ROC7,cyclophilin ROC7
249364_at,0.000469,2.51E-06,1.42E+01,5.610016,8.31E-01,AT5G40590,cysteine/histidine-rich C1 domain-containing protein
264010_at,0.000469,2.53E-06,-1.42E+01,5.602794,-1.47,AT2G21100,dirigent protein 23
253817_at,0.000476,2.59E-06,1.42E+01,5.579126,6.73E-01,AT4G28310,hypothetical protein
255776_at,0.000476,2.61E-06,1.41E+01,5.572842,7.73E-01,AT1G18540,60S ribosomal protein L6-1
263497_at,0.000479,2.73E-06,-1.40E+01,5.52766,-9.82E-01,COR15A,cold-regulated protein 15a
261080_at,0.000479,2.74E-06,1.40E+01,5.525461,9.36E-01,PCNA1,proliferating cellular nuclear antigen 1
247354_at,0.000479,2.74E-06,-1.40E+01,5.52538,-8.90E-01,FLS3,flavonol synthase 3
253617_at,0.000479,2.75E-06,1.40E+01,5.518636,1.03,AT4G30410,protein IBH1-LIKE 1
262254_at,0.000479,2.76E-06,1.40E+01,5.516854,5.41E-01,GLIP5,GDSL esterase/lipase 5
260157_at,0.000479,2.77E-06,1.40E+01,5.511701,8.23E-01,AT1G52930,ribosomal RNA processing Brix domain protein
251751_at,0.000479,2.77E-06,1.40E+01,5.511194,1.18,AT3G55720,hypothetical protein
266167_at,0.00048,2.80E-06,1.40E+01,5.502257,8.31E-01,YLS5,protease I (pfpI)-like protein YLS5
248684_at,0.000484,2.85E-06,1.40E+01,5.484011,1.74,DIR1,putative lipid-transfer protein DIR1
264379_at,0.000484,2.87E-06,-1.39E+01,5.477215,-6.53E-01,AT2G25200,hypothetical protein
261807_at,0.000484,2.88E-06,1.39E+01,5.472872,1.44,AT1G30515,hypothetical protein
251356_at,0.000492,2.95E-06,-1.39E+01,5.448306,-1.08,PP2-A13,phloem protein 2-A13
254759_at,0.000493,2.98E-06,1.39E+01,5.439646,1.01,AT4G13180,Rossmann-fold NAD(P)-binding domain-containing protein
256547_at,0.000493,3.01E-06,1.38E+01,5.430277,8.12E-01,AT3G14840,leucine-rich repeat transmembrane protein kinase
250560_at,0.000493,3.03E-06,1.38E+01,5.424227,5.71E-01,RPA70B,RPA70-kDa subunit B
266140_at,0.000493,3.09E-06,-1.38E+01,5.4042,-4.72E-01,AT2G28120,major facilitator protein
252235_at,0.000493,3.10E-06,1.38E+01,5.401261,5.62E-01,AT3G49910,60S ribosomal protein L26-1
245330_at,0.000493,3.12E-06,1.38E+01,5.394377,1.24,AT4G14930,survival protein SurE-like phosphatase/nucleotidase
249375_at,0.000493,3.14E-06,1.38E+01,5.388783,1.13,AGP24,arabinogalactan protein 24
247739_at,0.000493,3.17E-06,1.37E+01,5.376552,5.65E-01,AT5G59240,40S ribosomal protein S8-2
263372_at,0.000493,3.18E-06,1.37E+01,5.375716,8.34E-01,AT2G20450,60S ribosomal protein L14-1
265014_at,0.000493,3.19E-06,-1.37E+01,5.371539,-9.88E-01,AT1G24430,HXXXD-type acyl-transferase-like protein
255225_at,0.000493,3.21E-06,1.37E+01,5.364054,5.70E-01,YAO,WD40-repeats containing protein YAOZHE
265471_at,0.000493,3.22E-06,1.37E+01,5.361345,1.12,AT2G37130,peroxidase
259096_at,0.000494,3.25E-06,1.37E+01,5.354273,8.34E-01,AT3G04840,40S ribosomal protein S3a-1
252413_at,0.000495,3.28E-06,1.37E+01,5.34513,7.17E-01,AT3G47370,40S ribosomal protein S20-2
262099_s_at,0.000508,3.40E-06,1.36E+01,5.307553,9.63E-01,GH3.4///BRU6,indole-3-acetic acid-amido synthetase GH3.4///indole-3-acetic acid-amido synthetase GH3.2
255829_at,0.000508,3.41E-06,1.36E+01,5.305139,6.56E-01,KT2,potassium transporter 2
258130_at,0.00051,3.45E-06,1.36E+01,5.294083,8.77E-01,AT3G24510,defensin-like protein 259
256864_at,0.000511,3.53E-06,1.35E+01,5.270758,5.27E-01,TOPII,DNA topoisomerase 2
249310_at,0.000511,3.53E-06,1.35E+01,5.269695,5.26E-01,AT5G41520,40S ribosomal protein S10-2
250279_at,0.000511,3.53E-06,-1.35E+01,5.268927,-8.78E-01,AT5G13200,GRAM domain family protein
248043_s_at,0.000511,3.56E-06,1.35E+01,5.26265,6.37E-01,HSP81-3///Hsp81.4,Heat shock protein 90-3///Heat shock protein 90-4
252566_at,0.000511,3.59E-06,1.35E+01,5.253957,6.88E-01,RPS15AD,40S ribosomal protein S15a-4
267436_at,0.000511,3.64E-06,1.34E+01,5.240199,9.32E-01,FRK1,FLG22-induced receptor-like kinase 1
260538_at,0.000511,3.65E-06,1.34E+01,5.235061,7.13E-01,AT3G59540///AT2G43460,60S ribosomal protein L38///60S ribosomal protein L38
251357_at,0.000511,3.68E-06,1.34E+01,5.2295,5.82E-01,RS27A,40S ribosomal protein S27-2
258402_at,0.000511,3.69E-06,-1.34E+01,5.22608,-1.05,AT3G15450,aluminum induced protein with YGL and LRDR motif
264433_at,0.000511,3.70E-06,-1.34E+01,5.223348,-1.55,BGLU45,beta-glucosidase 45
258922_at,0.000511,3.72E-06,1.34E+01,5.21733,8.69E-01,AT3G10610,40S ribosomal protein S17-3
266059_at,0.000511,3.72E-06,1.34E+01,5.216788,6.42E-01,AT2G40765,hypothetical protein
254831_at,0.000512,3.78E-06,1.34E+01,5.201516,7.86E-01,AT4G12600,ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
261266_at,0.000512,3.84E-06,1.33E+01,5.185244,1.44,EXPA10,expansin A10
246097_at,0.000512,3.87E-06,-1.33E+01,5.177334,-7.34E-01,HHP1,heptahelical transmembrane protein1
266421_at,0.000512,3.88E-06,1.33E+01,5.174045,1.08,LP1,non-specific lipid-transfer protein 1
246192_at,0.000512,3.88E-06,1.33E+01,5.173951,4.44E-01,EIF2 BETA,translation initiation factor eIF-2 beta subunit
259239_at,0.000512,3.90E-06,1.33E+01,5.169519,7.22E-01,AT3G11510,40S ribosomal protein S14-2
248664_at,0.000512,3.90E-06,1.33E+01,5.169001,6.60E-01,FKBP15-2,peptidyl-prolyl cis-trans isomerase FKBP15-2
265573_at,0.000512,3.91E-06,-1.33E+01,5.167332,-1.17,AT2G28200,zinc finger protein ZAT5
261254_at,0.000515,3.97E-06,-1.33E+01,5.151486,-4.81E-01,AT1G05805,transcription factor bHLH128
247327_at,0.000515,3.97E-06,1.33E+01,5.151415,1.35,AT5G64120,peroxidase 71
266294_at,0.000515,3.99E-06,1.33E+01,5.145705,6.59E-01,AT2G29500,HSP20 family protein
249791_at,0.000538,4.23E-06,-1.31E+01,5.087081,-6.63E-01,AAP7,putative amino acid permease 7
251852_at,0.000538,4.26E-06,1.31E+01,5.079596,5.50E-01,AT3G54750,hypothetical protein
247584_at,0.000538,4.27E-06,1.31E+01,5.078311,8.09E-01,AT5G60670,60S ribosomal protein L12-3
249344_at,0.000538,4.29E-06,1.31E+01,5.074481,7.01E-01,PHB3,prohibitin 3
264590_at,0.000538,4.30E-06,-1.31E+01,5.071873,-7.51E-01,AT2G17710,hypothetical protein
267237_s_at,0.00054,4.33E-06,1.31E+01,5.063955,1.19,AT3G59890///AT2G44040,dihydrodipicolinate reductase 2///dihydrodipicolinate reductase 1
249700_at,0.000546,4.40E-06,1.31E+01,5.046888,5.70E-01,AT5G35530,40S ribosomal protein S3-3
267507_at,0.000549,4.46E-06,1.30E+01,5.033305,5.06E-01,AT2G45710,40S ribosomal protein S27-1
249742_at,0.000549,4.48E-06,-1.30E+01,5.029941,-8.24E-01,AT5G24490,putative 30S ribosomal protein
258514_at,0.000557,4.61E-06,1.30E+01,4.99959,4.58E-01,AT3G06610,DNA-binding enhancer-like protein
264260_at,0.000557,4.62E-06,1.30E+01,4.999095,4.99E-01,CRT1b,calreticulin 1b
254705_at,0.000557,4.64E-06,-1.30E+01,4.992984,-8.94E-01,PYR1,abscisic acid receptor PYR1
266334_at,0.000557,4.66E-06,1.30E+01,4.989516,6.31E-01,AT2G32380,putative transmembrane protein
267172_at,0.000557,4.67E-06,1.30E+01,4.988419,5.34E-01,AT2G37660,NAD(P)-binding Rossmann-fold-containing protein
254763_at,0.00056,4.72E-06,1.29E+01,4.97756,6.23E-01,AT4G13170,60S ribosomal protein L13a-3
251882_at,0.000563,4.76E-06,-1.29E+01,4.967251,-1.04,PTR1,peptide transporter PTR1
250155_at,0.000571,4.86E-06,1.29E+01,4.947847,9.39E-01,BNQ2,protein banquo 2
259596_at,0.000574,4.91E-06,1.28E+01,4.935573,8.20E-01,GH3.17,indole-3-acetic acid-amido synthetase GH3.17
251997_at,0.000574,4.94E-06,1.28E+01,4.931297,7.05E-01,STV1,60S ribosomal protein L24-2
245121_at,0.000577,5.00E-06,1.28E+01,4.918246,6.92E-01,AT2G47610,60S ribosomal protein L7a-1
260643_at,0.000577,5.03E-06,-1.28E+01,4.911728,-7.50E-01,AT1G53270,ABC transporter G family member 10
266469_at,0.000577,5.04E-06,1.28E+01,4.910554,5.89E-01,MYB14,myb domain protein 14
263133_at,0.00058,5.09E-06,-1.28E+01,4.900244,-9.10E-01,AT1G78450,SOUL/heme-binding protein-like protein
247267_at,0.000585,5.16E-06,1.28E+01,4.886641,8.25E-01,RPS28,40S ribosomal protein S28-2
262985_s_at,0.000588,5.28E-06,1.27E+01,4.862655,6.42E-01,AT1G70600///RPL27AB,60S ribosomal protein L27a-3///60S ribosomal protein L27a-2
253155_at,0.000588,5.33E-06,1.27E+01,4.852616,6.38E-01,AT4G35720,hypothetical protein
249945_at,0.000588,5.34E-06,1.27E+01,4.851123,8.95E-01,AT5G22440,60S ribosomal protein L10a-3
246415_at,0.000588,5.35E-06,1.27E+01,4.84906,7.44E-01,AT5G17160,hypothetical protein
257673_at,0.000588,5.37E-06,1.27E+01,4.846083,1.11,AT3G20370,TRAF-like family protein
246061_at,0.000588,5.39E-06,1.27E+01,4.841527,4.76E-01,RANGAP2,RAN GTPase-activating protein 2
263131_at,0.000588,5.40E-06,1.27E+01,4.839843,4.43E-01,emb1473,50S ribosomal protein L13
258284_at,0.000588,5.41E-06,1.27E+01,4.838167,7.13E-01,AT3G16080,60S ribosomal protein L37-3
267477_at,0.000588,5.42E-06,-1.27E+01,4.835595,-1.36,PLPB,PAS/LOV protein B
257906_at,0.000588,5.44E-06,1.27E+01,4.832349,7.78E-01,ATL5,60S ribosomal protein L5-1
252168_at,0.000592,5.50E-06,-1.26E+01,4.820952,-9.67E-01,MES10,methyl esterase 10
251306_at,0.000594,5.55E-06,-1.26E+01,4.812383,-5.84E-01,AT3G61260,remorin family protein
262988_at,0.000599,5.66E-06,-1.26E+01,4.791415,-4.57E-01,GGT1,glutamate:glyoxylate aminotransferase
258178_at,0.000599,5.68E-06,1.26E+01,4.787434,4.36E-01,AT3G21680,hypothetical protein
267144_at,0.000599,5.70E-06,-1.26E+01,4.784372,-7.78E-01,GPAT6,bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase
252395_at,0.000599,5.71E-06,-1.26E+01,4.782698,-1.17,HA4,H(+)-ATPase 4
258054_at,0.000599,5.72E-06,1.26E+01,4.780381,5.80E-01,DELTA-TIP,aquaporin TIP2-1
261570_at,0.000609,5.86E-06,-1.25E+01,4.75647,-8.95E-01,KCS1,3-ketoacyl-CoA synthase 1
258140_at,0.000609,5.90E-06,1.25E+01,4.749251,1.29,ALDH2C4,aldehyde dehydrogenase 2C4
255904_at,0.000609,5.90E-06,1.25E+01,4.749246,6.57E-01,AT1G17860,kunitz family trypsin and protease inhibitor protein
256862_at,0.000612,5.96E-06,1.25E+01,4.739202,5.64E-01,AT3G23940,dehydratase family protein
260855_at,0.000616,6.03E-06,-1.25E+01,4.727534,-4.66E-01,AT1G21920,Histone H3 K4-specific methyltransferase SET7/9 family protein
250461_at,0.000626,6.14E-06,1.24E+01,4.707973,5.42E-01,AT5G10010,hypothetical protein
245112_at,0.000627,6.19E-06,-1.24E+01,4.700507,-8.93E-01,GPDHC1,glycerol-3-phosphate dehydrogenase [NAD(+)] GPDHC1
251921_at,0.000628,6.22E-06,1.24E+01,4.69542,7.46E-01,AT3G53890,40S ribosomal protein S21-1
266256_at,0.000629,6.26E-06,1.24E+01,4.687987,7.53E-01,AT2G27710,60S acidic ribosomal protein P2-2
260637_at,0.000636,6.35E-06,1.24E+01,4.673323,6.77E-01,ACO2,1-aminocyclopropane-1-carboxylate oxidase 2
261834_at,0.000637,6.40E-06,1.23E+01,4.666845,1.74,AT1G10640,pectin lyase-like protein
264233_at,0.000639,6.46E-06,1.23E+01,4.656864,6.68E-01,AT1G67430,60S ribosomal protein L17-2
253301_at,0.000639,6.50E-06,-1.23E+01,4.650981,-5.86E-01,AT4G33720,putative pathogenesis-related protein
259612_at,0.000639,6.52E-06,1.23E+01,4.647465,7.38E-01,AT1G52300,60S ribosomal protein L37-2
262162_at,0.000639,6.53E-06,-1.23E+01,4.64602,-6.45E-01,AT1G78020,hypothetical protein
261664_s_at,0.000641,6.59E-06,1.23E+01,4.635618,4.88E-01,AT1G18320///MEE67,mitochondrial import inner membrane translocase subunit TIM22-4///mitochondrial import inner membrane translocase subunit TIM22-1
247058_at,0.000641,6.61E-06,1.23E+01,4.633765,5.22E-01,DGL1,dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit
261790_at,0.000646,6.68E-06,1.23E+01,4.622422,6.31E-01,AT1G16000,hypothetical protein
